['RUK178', 'B738/M-SDFGIJ1LRWY/SB1', 'EGAA', 'EGPH', '25000', 'BLACA P600 TUNSO', 1707471010]
['EZS1604', 'A320/M-SDE3FGHIRWY/LB1', 'EGAA', 'LSGG', '37000', 'LISBO DCT RINGA Q39 INKOB/N0448F370 Q39 NOMSU UQ4 WAL L151 MID UL612 INPAX DCT PEKIM DCT PIXIS DCT LUSAR DCT SPR', 1707485557]
['EZY21QF', 'A320/M-SDE2E3FGHIRWXY/LB1', 'EGAA', 'EGNM', '25000', 'LISBO L603 PEPOD Q38 GIGTO UQ4 WAL DCT POL', 1707488168]
['EZY21Q', 'A320/M-SDE2E3FGHIJ1RWXY/LB1', 'EGAA', 'EGNM', '25000', 'LISBO L603 PEPOD Q38 GIGTO UQ4 WAL DCT POL', 1707490179]
['EZY81AK', 'A20N/M-SDE2E3FGHIRWXY/LB1G1', 'EGAA', 'EGKK', '35000', 'LISBO DCT RINGA DCT BABGU DCT ETIGA DCT INKOB Q39 NOMSU UQ4 WAL L151 DISIT', 1707493807]
['EZY23QF', 'A320/M-VGDW/C', 'EGAA', 'EGNM', '25000', 'LISBO L603 PEPOD Q38 GIGTO UQ4 WAL DCT POL', 1707493332]
['EZY27A', 'A20N', 'EGAA', 'EINN', '26000', 'ERNAN KORAK RIKUL', 1707492937]
['RYR57J', 'B738/M-VGDW/C', 'EGAA', 'EGGP', '19000', 'LISBO L603 PEPOD Q38 SOSIM L28 PENIL', 1707495364]
['RUK192', 'B738/M-SDE2E3FGHIRWXY/LB1', 'EGAA', 'EGCC', '25000', 'LISBO L603 PEPOD Q38 MAKUX', 1707499055]
['EZY506', 'A20N/M-SDE2E3FGHIJ1RWXY/LB1', 'EGAA', 'EGGP', '21000', 'LISBO L603 PEPOD Q38 SOSIM L28 PENIL', 1707499386]
['EZY9582', 'A320/M-SDE3FGHIRWY/LB1', 'EGAA', 'EGNM', '23000', 'LISBO L603 PEPOD Q38 GIGTO UQ4 WAL DCT POL', 1707505357]
['EZY61M', 'A20N/M-SDE2E3FGHIJ1RWXY/LB1', 'EGAA', 'EGNM', '23000', 'LISBO L603 PEPOD Q38 GIGTO Q4 WAL DCT POL', 1707506017]
['EZY68', 'A20N/M-VGDW/C', 'EGAA', 'EGNM', '25000', 'LISBO L603 PEPOD Q38 GIGTO UQ4 WAL DCT POL', 1707505657]
['ADB3706', 'A124/J-SDE3FGHIM1M2RWXY/LB1', 'EGAA', 'CYMX', '28000', 'BELZU DCT AMCON DCT MIMKU DCT PIKIL/M082F280 NATA RIKAL/N0481F300 DCT ANATI DCT YQB DCT PESAC Q905 AGLUK Q941 TAMKO DCT YUL', 1707507098]
['OMD59', 'A319/M-SDE3FGHIRWY/LB1', 'EGAA', 'EGPH', '21000', 'BLACA P600 TUNSO', 1707507282]
['EZY21QF', 'A20N/M-SDE2E3FGHIJ1RWXY/LB1', 'EGAA', 'EGNM', '23000', 'LISBO L603 PEPOD Q38 GIGTO Q4 WAL DCT POL', 1707509023]
